"St.no","TAM","month","year","month.human","scaled.temp","scaled"
99710,-1.7,5,2003,"May",0,-0.374762899566035
99710,0.6,5,2004,"May",0,1.19540120335959
99710,-0.2,5,2005,"May",0,0.649257167559374
99710,1.8,5,2006,"May",0,2.01461725705992
99710,0.2,5,2007,"May",0,0.922329185459484
99710,0.2,5,2008,"May",0,0.922329185459484
99710,1.6,5,2009,"May",0,1.87808124810987
99710,1.8,5,2010,"May",0,2.01461725705992
99710,0.3,5,2011,"May",0,0.990597189934511
99710,0.3,5,2012,"May",0,0.990597189934511
99710,1.7,5,2013,"May",0,1.94634925258489
99710,-0.8,5,2014,"May",0,0.23964914070921
99710,-0.7,5,2015,"May",0,0.307917145184238
99710,3.3,6,1920,"June",0,0.892804257284356
99710,3.4,6,1921,"June",0,0.970019760617058
99710,4.1,6,1922,"June",0,1.51052828394596
99710,0.5,6,1923,"June",0,-1.26922983603127
99710,-0.3,6,1924,"June",0,-1.88695386269288
99710,3.1,6,1925,"June",0,0.738373250618954
99710,1,6,1926,"June",0,-0.883152319367769
99710,0.7,6,1927,"June",0,-1.11479882936587
99710,-0.4,6,1928,"June",0,-1.96416936602558
99710,-0.3,6,1929,"June",0,-1.88695386269288
99710,3.4,6,1930,"June",0,0.970019760617058
99710,0.3,6,1931,"June",0,-1.42366084269668
99710,1.2,6,1932,"June",0,-0.728721312702366
99710,3.4,6,1933,"June",0,0.970019760617058
99710,2.6,6,1934,"June",0,0.352295733955449
99710,0.5,6,1935,"June",0,-1.26922983603127
99710,3.2,6,1936,"June",0,0.815588753951656
99710,4.1,6,1937,"June",0,1.51052828394596
99710,2.5,6,1938,"June",0,0.275080230622748
99710,2.1,6,1939,"June",0,-0.0337817827080565
99710,3.5,6,1940,"June",0,1.04723526394976
99710,0.8,6,1941,"June",0,-1.03758332603317
99710,1.7,6,1942,"June",0,-0.342643796038861
99710,2.5,6,1943,"June",0,0.275080230622748
99710,1.9,6,1944,"June",0,-0.188212789373459
99710,1.1,6,1945,"June",0,-0.805936816035067
99710,1,6,1946,"June",0,-0.883152319367769
99710,1.6,6,1947,"June",0,-0.419859299371562
99710,0.2,6,1948,"June",0,-1.50087634602938
99710,1.3,6,1949,"June",0,-0.651505809369665
99710,1.5,6,1950,"June",0,-0.497074802704263
99710,1.9,6,1951,"June",0,-0.188212789373459
99710,3.6,6,1952,"June",0,1.12445076728246
99710,4.4,6,1953,"June",0,1.74217479394407
99710,2.2,6,1954,"June",0,0.0434337206246446
99710,1,6,1955,"June",0,-0.883152319367769
99710,2,6,1956,"June",0,-0.110997286040758
99710,1.9,6,1957,"June",0,-0.188212789373459
99710,2.5,6,1958,"June",0,0.275080230622748
99710,2.7,6,1959,"June",0,0.42951123728815
99710,2.5,6,1960,"June",0,0.275080230622748
99710,2.8,6,1961,"June",0,0.506726740620851
99710,-0.1,6,1962,"June",0,-1.73252285602748
99710,1.2,6,1963,"June",0,-0.728721312702366
99710,1.4,6,1964,"June",0,-0.574290306036964
99710,0.7,6,1965,"June",0,-1.11479882936587
99710,1.7,6,1966,"June",0,-0.342643796038861
99710,1.8,6,1967,"June",0,-0.26542829270616
99710,0.6,6,1968,"June",0,-1.19201433269857
99710,1.2,6,1969,"June",0,-0.728721312702366
99710,3.3,6,1970,"June",0,0.892804257284356
99710,0.6,6,1971,"June",0,-1.19201433269857
99710,3.9,6,1972,"June",0,1.35609727728056
99710,3.8,6,1973,"June",0,1.27888177394786
99710,3.3,6,1974,"June",0,0.892804257284356
99710,0.3,6,1975,"June",0,-1.42366084269668
