"St.no","TAM","month","year","scaled.temp","month.human","scaled"
99710,-0.4,6,1928,0,"June",-1.96416936602558
99710,-0.3,6,1929,0,"June",-1.88695386269288
99710,3.4,6,1930,0,"June",0.970019760617058
99710,0.3,6,1931,0,"June",-1.42366084269668
99710,1.2,6,1932,0,"June",-0.728721312702366
99710,3.4,6,1933,0,"June",0.970019760617058
99710,2.6,6,1934,0,"June",0.352295733955449
99710,0.5,6,1935,0,"June",-1.26922983603127
99710,3.2,6,1936,0,"June",0.815588753951656
99710,4.1,6,1937,0,"June",1.51052828394596
99710,2.5,6,1938,0,"June",0.275080230622748
99710,2.1,6,1939,0,"June",-0.0337817827080565
99710,3.5,6,1940,0,"June",1.04723526394976
99710,0.8,6,1941,0,"June",-1.03758332603317
99710,1.7,6,1942,0,"June",-0.342643796038861
99710,2.5,6,1943,0,"June",0.275080230622748
99710,1.9,6,1944,0,"June",-0.188212789373459
99710,1.1,6,1945,0,"June",-0.805936816035067
99710,1,6,1946,0,"June",-0.883152319367769
99710,1.6,6,1947,0,"June",-0.419859299371562
99710,0.2,6,1948,0,"June",-1.50087634602938
99710,1.3,6,1949,0,"June",-0.651505809369665
99710,1.5,6,1950,0,"June",-0.497074802704263
99710,1.9,6,1951,0,"June",-0.188212789373459
99710,3.6,6,1952,0,"June",1.12445076728246
99710,4.4,6,1953,0,"June",1.74217479394407
99710,2.2,6,1954,0,"June",0.0434337206246446
99710,1,6,1955,0,"June",-0.883152319367769
99710,2,6,1956,0,"June",-0.110997286040758
99710,1.9,6,1957,0,"June",-0.188212789373459
99710,2.5,6,1958,0,"June",0.275080230622748
99710,2.7,6,1959,0,"June",0.42951123728815
99710,2.5,6,1960,0,"June",0.275080230622748
99710,2.8,6,1961,0,"June",0.506726740620851
99710,-0.1,6,1962,0,"June",-1.73252285602748
99710,1.2,6,1963,0,"June",-0.728721312702366
99710,1.4,6,1964,0,"June",-0.574290306036964
99710,0.7,6,1965,0,"June",-1.11479882936587
99710,1.7,6,1966,0,"June",-0.342643796038861
99710,1.8,6,1967,0,"June",-0.26542829270616
99710,0.6,6,1968,0,"June",-1.19201433269857
99710,1.2,6,1969,0,"June",-0.728721312702366
99710,3.3,6,1970,0,"June",0.892804257284356
99710,0.6,6,1971,0,"June",-1.19201433269857
99710,3.9,6,1972,0,"June",1.35609727728056
99710,3.8,6,1973,0,"June",1.27888177394786
99710,3.3,6,1974,0,"June",0.892804257284356
99710,0.3,6,1975,0,"June",-1.42366084269668
99710,3,6,1976,0,"June",0.661157747286253
99710,0.1,6,1977,0,"June",-1.57809184936208
99710,2.1,6,1978,0,"June",-0.0337817827080565
99710,1.6,6,1979,0,"June",-0.419859299371562
99710,2.7,6,1980,0,"June",0.42951123728815
99710,1.1,6,1981,0,"June",-0.805936816035067
99710,0.1,6,1982,0,"June",-1.57809184936208
99710,3.4,6,1983,0,"June",0.970019760617058
99710,2.7,6,1984,0,"June",0.42951123728815
99710,0.5,6,1985,0,"June",-1.26922983603127
99710,3.5,6,1986,0,"June",1.04723526394976
99710,0.8,6,1987,0,"June",-1.03758332603317
99710,2.2,6,1988,0,"June",0.0434337206246446
99710,2.4,6,1989,0,"June",0.197864727290047
99710,2.5,6,1990,0,"June",0.275080230622748
99710,1.4,6,1991,0,"June",-0.574290306036964
99710,3.4,6,1992,0,"June",0.970019760617058
99710,0.6,6,1993,0,"June",-1.19201433269857
99710,2.7,6,1994,0,"June",0.42951123728815
99710,2.8,6,1995,0,"June",0.506726740620851
99710,1.9,6,1996,0,"June",-0.188212789373459
99710,1.3,6,1997,0,"June",-0.651505809369665
99710,1.4,6,1998,0,"June",-0.574290306036964
99710,4.7,6,1999,0,"June",1.97382130394217
99710,3.5,6,2001,0,"June",1.04723526394976
99710,4.4,6,2002,0,"June",1.74217479394407
99710,2.1,6,2003,0,"June",-0.0337817827080565
99710,2.6,6,2004,0,"June",0.352295733955449
99710,3.2,6,2005,0,"June",0.815588753951656
99710,5,6,2006,0,"June",2.20546781394027
99710,3.5,6,2007,0,"June",1.04723526394976
99710,2.6,6,2008,0,"June",0.352295733955449
99710,3.6,6,2009,0,"June",1.12445076728246
99710,2.3,6,2010,0,"June",0.120649223957345
99710,1.9,6,2011,0,"June",-0.188212789373459
99710,2.8,6,2012,0,"June",0.506726740620851
99710,5.3,6,2013,0,"June",2.43711432393838
99710,2.9,6,2014,0,"June",0.583942243953552
99710,2.4,6,2015,0,"June",0.197864727290047
99710,6.8,7,1920,0,"July",1.77489018491156
99710,4.3,7,1921,0,"July",-0.333890232805145
99710,6,7,1922,0,"July",1.10008045124221
99710,3.8,7,1923,0,"July",-0.755646316348485
99710,5.4,7,1924,0,"July",0.593973150990204
99710,6.6,7,1925,0,"July",1.60618775149422
99710,2.8,7,1926,0,"July",-1.59915848343517
99710,5.5,7,1927,0,"July",0.678324367698872
99710,3.8,7,1928,0,"July",-0.755646316348485
